0,1,0,0
0.1,0.943933,0.0548892,0.00117769
0.2,0.89101,0.104433,0.00455749
0.3,0.841054,0.149024,0.0099222
0.4,0.793898,0.189031,0.0170707
0.5,0.749387,0.224796,0.0258168
0.6,0.707371,0.256641,0.0359884
0.7,0.667711,0.284863,0.0474263
0.8,0.630274,0.309742,0.0599838
0.9,0.594937,0.331538,0.0735252
1,0.561581,0.350494,0.0879256
1.1,0.530095,0.366835,0.10307
1.2,0.500374,0.380773,0.118853
1.3,0.472319,0.392504,0.135176
1.4,0.445838,0.40221,0.151952
1.5,0.420841,0.410062,0.169097
1.6,0.397246,0.416217,0.186537
1.7,0.374974,0.420823,0.204204
1.8,0.35395,0.424015,0.222035
1.9,0.334105,0.425922,0.239973
2,0.315373,0.426661,0.257966
2.1,0.297691,0.426341,0.275968
2.2,0.281,0.425064,0.293936
2.3,0.265245,0.422923,0.311831
2.4,0.250374,0.420006,0.32962
2.5,0.236336,0.416394,0.34727
2.6,0.223086,0.41216,0.364755
2.7,0.210578,0.407374,0.382049
2.8,0.198771,0.402099,0.39913
2.9,0.187627,0.396394,0.41598
3,0.177107,0.390312,0.43258
3.1,0.167177,0.383905,0.448917
3.2,0.157804,0.377218,0.464978
3.3,0.148957,0.370292,0.480751
3.4,0.140605,0.363167,0.496228
3.5,0.132722,0.355878,0.5114
3.6,0.125281,0.348457,0.526262
3.7,0.118256,0.340935,0.540809
3.8,0.111626,0.333338,0.555036
3.9,0.105368,0.325691,0.568942
4,0.09946,0.318016,0.582524
4.1,0.0938836,0.310334,0.595782
4.2,0.0886198,0.302664,0.608716
4.3,0.0836512,0.295022,0.621327
4.4,0.0789611,0.287422,0.633617
4.5,0.074534,0.279879,0.645587
4.6,0.0703551,0.272405,0.657239
4.7,0.0664105,0.265011,0.668579
4.8,0.0626871,0.257705,0.679608
4.9,0.0591724,0.250497,0.69033
5,0.0558548,0.243394,0.700751
5.1,0.0527232,0.236402,0.710874
5.2,0.0497672,0.229528,0.720705
5.3,0.0469769,0.222775,0.730248
5.4,0.044343,0.216148,0.739509
5.5,0.0418569,0.20965,0.748493
5.6,0.0395101,0.203285,0.757205
5.7,0.0372949,0.197053,0.765652
5.8,0.0352039,0.190958,0.773839
5.9,0.0332301,0.184999,0.781771
6,0.031367,0.179179,0.789454
6.1,0.0296083,0.173496,0.796895
6.2,0.0279483,0.167952,0.804099
6.3,0.0263813,0.162546,0.811073
6.4,0.0249022,0.157277,0.81782
6.5,0.023506,0.152145,0.824349
6.6,0.0221881,0.147149,0.830663
6.7,0.0209441,0.142286,0.83677
6.8,0.0197698,0.137556,0.842674
6.9,0.0186614,0.132957,0.848381
7,0.0176151,0.128487,0.853897
7.1,0.0166275,0.124145,0.859228
7.2,0.0156952,0.119928,0.864377
7.3,0.0148152,0.115834,0.869351
7.4,0.0139846,0.11186,0.874155
7.5,0.0132005,0.108006,0.878794
7.6,0.0124604,0.104267,0.883272
7.7,0.0117618,0.100643,0.887596
7.8,0.0111023,0.0971294,0.891768
7.9,0.0104799,0.0937252,0.895795
8,0.00989229,0.0904276,0.89968
8.1,0.00933766,0.0872339,0.903428
8.2,0.00881413,0.0841417,0.907044
8.3,0.00831995,0.0811486,0.910531
8.4,0.00785347,0.0782521,0.913894
8.5,0.00741315,0.0754496,0.917137
8.6,0.00699752,0.0727388,0.920264
8.7,0.00660519,0.0701172,0.923278
8.8,0.00623486,0.0675824,0.926183
8.9,0.00588529,0.065132,0.928983
9,0.00555532,0.0627636,0.931681
9.1,0.00524385,0.060475,0.934281
9.2,0.00494984,0.0582639,0.936786
9.3,0.00467232,0.056128,0.9392
9.4,0.00441036,0.0540652,0.941524
9.5,0.00416308,0.0520732,0.943764
9.6,0.00392967,0.0501499,0.94592
9.7,0.00370935,0.0482933,0.947997
9.8,0.00350138,0.0465013,0.949997
9.9,0.00330506,0.044772,0.951923
10,0.00311976,0.0431033,0.953777
